imdb_title_id,original_title,year,date_published,genre,duration,country,language,imdb_score,budget,worldwide_gross_income
tt0040979,Yoidore tenshi,1948,1948-04-27,"Crime, Drama, Romance",98,Japan,Japanese,7.7,,$ 46808
tt0041154,Banshun,1949,1949-09-13,Drama,108,Japan,Japanese,8.3,,$ 15978
tt0041253,Colorado Territory,1949,1950-10-11,Western,94,USA,English,7.2,,$ 4755
tt0041452,The Heiress,1949,1950-11-23,"Drama, Romance",115,USA,"English, French",8.1,$ 2600000,$ 16
tt0041507,In the Good Old Summertime,1949,1949-07-29,"Comedy, Musical, Romance",102,USA,English,7.2,,$ 7704120
tt0041546,Kind Hearts and Coronets,1949,1952-01-11,"Comedy, Crime",106,UK,English,8.0,,$ 145583
tt0041587,A Letter to Three Wives,1949,1949-11-10,"Drama, Romance",103,USA,"English, Spanish",7.7,,$ 14768
tt0041594,Little Women,1949,1949-04-01,"Drama, Family, Romance",122,USA,"German, English",7.3,,$ 12905600
tt0041699,Nora inu,1949,1949-10-17,"Crime, Drama, Mystery",122,Japan,Japanese,7.9,,$ 46808
tt0041710,Occupe-toi d'Amélie..!,1949,1949-11-22,Comedy,92,"France, Italy",French,6.9,,$ 10499
tt0041735,The Passionate Friends,1949,1949-01-26,Drama,95,UK,"English, French",7.2,,$ 40335
tt0041800,Rendez-vous de juillet,1949,1949-12-06,"Comedy, Drama",112,France,French,7.2,,$ 11321
tt0041959,The Third Man,1949,1949-11-30,"Film-Noir, Mystery, Thriller",104,UK,"English, German, Russian",8.1,,$ 1225424
tt0042040,Whisky Galore!,1949,1949-06-16,"Comedy, Crime",80,UK,"English, Scottish Gaelic",7.2,,$ 11444
tt0042041,White Heat,1949,1950-09-15,"Action, Crime, Drama",114,USA,English,8.1,$ 1300000,$ 5534
tt0042192,All About Eve,1950,1951-10-05,Drama,138,USA,"English, French",8.2,$ 1400000,$ 150438
tt0042208,The Asphalt Jungle,1950,1951-01-11,"Crime, Drama, Film-Noir",112,USA,"English, German",7.9,$ 1232000,$ 29868
tt0042276,Born Yesterday,1950,1951-10-20,"Comedy, Drama, Romance",103,USA,English,7.6,,$ 12000000
tt0042332,Cinderella,1950,1950-09-15,"Animation, Family, Fantasy",74,USA,English,7.3,$ 2900000,$ 95126535
tt0042464,The Flame and the Arrow,1950,1950-07-09,"Adventure, Drama, Romance",88,USA,English,7.0,$ 1600000,$ 6713
